Item,Embest P/N,Part Type,QTY,Location,Manufacturer,Manufacture P/N,Description,Package
1,1001001000780-02,PCB,1,,AVL,BeagleBone AI PCB Rev A1(Add FCC/CE Logo),"12 layers PCB,glossy white Soldermask,Black Silkscreen,Immersion gold,8636*54.61mm,BeagleBone AI PCB Rev A1 (Add FCC/CE Logo)",-
2,1002001100053,MPU,1,U4,TI,AM5729BABCXEAR,IC ARM Dual Cortex-A15 Microprocessor FCBGA(ABC)-760 SMD JEDEC TRAY,SMD
3,1002003100376,Memory,1,U7,kingston,EMMC16G-TB29-PZ90,"IC,Memory,16GB,EMMC,EMMC16G-TB29-PZ90 ,FBGA153,SMD",SMD
4,1002004100054,Power Management,1,U48,TI,TPS2051BDGN,"IC,Current-Limited Power-distribution Switches,TPS2051BDGN,8-MSOP-PowerPad,SMD",8-MSOP-PowerPad
5,1002004100287,Power Management,1,U1,Texas Instruments,TPS51200DRCR,IC CONV DDR DDR2 DDR3 10SON,
6,1002004100348,Power Management,1,U10,Texas Instruments,TPS3808G33DBVR,IC VOLT SUPERVISOR 3.3V SOT23-6,SOT23-6
7,1002004100351,Memory,2,"U2,U11",KINGSTON,D2516EC4BXGGB-U,DRAM Chip DDR3L SDRAM 4G-Bit 256Mx16 1.35V 96-Pin F-BGA,96-Pin F-BGA
8,1002004100399,Power Management,1,U3,TI,TPS6590379ZWSR,IC TPS659037 Power Management Unit (PMU) for Processor NFBGA-169 SMD,NFBGA-169
9,1002006100080,LDO,1,U40,SG MICRO,SGM2032-ADJYN5G/TR,"IC,300mA Low Power Low Dropout RF Linear Regulators,SGM2032-ADJYN5G/TR,SOT23-5,SMD",SOT23-5
10,1002008100067,Logic,1,U6,TI,SN74LVC1G08DCKR,"IC,SINGLE 2-INPUT POSITIVE-AND GATE,SN74LVC1G08DCKR,SOT-353,SMD",SOT-353
11,1002008100076,Logic,1,U46,TI,SN74LVC2G241DCUT,"IC,Dual Buffer and Line Driver,SN74LVC2G241DCUT,US8,SMD",US8
12,1002008100087,Logic,2,"U8,U90",TI,SN74LVC1G07DCKR,"IC,SINGLE BUFFER/DRIVER WITH OPEN-DRAIN OUTPUT,SN74LVC1G07DCKR,SC-70,SMD",SC-70
13,1002008100180,Logic,1,U12,TI,TXS0104ERGYR,"IC,TXS0104E 4-Bit Bidirectional Voltage-Level Translator For Open-Drain and Push-Pull
Applications 14-QFN,SMD""",SMD
14,1002010100194,Interface,1,U72,Pericom,PI3USB3102ZLE,IC USB3.0&USB2.0 SWITCH 32TQFN,
15,1002010100214,Interface,1,U22,Texas Instruments,TUSB322IRWBR,IC USB PORT CONTROL TYPE-C 12X2Q,12X2Q
16,1002016100028,Ethernet,1,U45,ATHEROS,AR8035-AL1B,"IC,Ultra low-power single RGMII Gigabit Ethernet PHY,AR8035,QFN-40,SMD",QFN-40
17,1002020100004,Specific IC,1,U78,ST,STMPE811QTR,"IC,S-Touch? advanced resistive touchscreen controller with 8-bit GPIO expander,STMPE811QTR,QFN-16,SMD",QFN-16
18,1002020100331,Specific IC,2,"D6,D7",TI,TLVH431CDBZR,"IC,Low-Voltage Adjustable Precision Shunt Regulators",sot95p240x120-3n
19,1003001100001,Thick film Resistor,86,"R7,R10,R14,R15,R55,R70,R89,R90,R100,R108,R130,R145,R146,R148,R149,R152,R159,R183,R201,R385,R461,R542,R543,R576,R577,R578,R579,R580,R611,R614,R615,R616,R617,R618,R619,R620,R621,R622,R623,R624,R625,R626,R627,R628,R629,R630,R631,R632,R633,R634,R635,R636,R637,R638,R639,R642,R643,R644,R645,R646,R652,R653,R662,R663,R664,R665,R666,R667,R668,R669,R680,R681,R682,R683,R684,R685,R686,R687,R688,R694,R695,R696,R697,R702,R706,R707",YAGEO,RC0402JR-070RL,"RES,0R,+/-5%,1/16W,SMD0402",402
20,1003001100004,Thick film Resistor,1,R84,YAGEO,RC0402FR-0710RL,"RES,10R,+/-1%,1/16W,SMD0402",402
21,1003001100007,Thick film Resistor,9,"R92,R93,R94,R95,R96,R97,R199,R200,R202",YAGEO,RC0402JR-0722RL,"RES,22R,+/-5%,1/16W,SMD0402",402
22,1003001100010,Thick film Resistor,21,"R333,R334,R336,R337,R458,R459,R460,R462,R464,R466,R469,R470,R581,R582,R583,R584,R585,R607,R608,R609,R610",YAGEO,RC0402JR-0733RL,"RES,33R,+/-5%,1/16W,SMD0402",402
23,1003001100015,Thick film Resistor,10,"R26,R29,R468,R472,R473,R474,R476,R477,R479,R480",YAGEO,RC0402FR-0749R9L,"RES,49R9,+/-1%,1/16W,SMD0402",402
24,1003001100019,Thick film Resistor,1,R294,YAGEO,RC0402FR-07100RL,"RES,100R,+/-1%,1/16W,SMD0402,ALT_CODE:15052701",402
25,1003001100020,Thick film Resistor,2,"R83,R660",YAGEO,RC0402JR-07100RL,"RES,100R,+/-5%,1/16W,SMD0402",402
26,1003001100025,Thick film Resistor,2,"R589,R595",YAGEO,RC0402JR-07220RL,"RES,220R,+/-5%,1/16W,SMD0402",402
27,1003001100026,Thick film Resistor,2,"R22,R88",YAGEO,RC0402FR-07240RL,"RES,240R,+/-1%,1/16W,SMD0402",402
28,1003001100034,Thick film Resistor,1,R457,YAGEO,RC0402FR-071KL,"RES,1K,+/-1%,1/16W,SMD0402",402
