Design Signal Pad Name,IO Power Group,PUPD State During HHV,PUPD State After HHV,IO Power Supply Name,IO Power Setting,Required Voltage Level,Ball Name,Mode Interface Name,Mode Signal Name,Mode Type,User Checked PU,User Checked PD,User Checked RX,User Requirement Name
tms,general,OFF,OFF,vddshv3,3.3,3.3,F18,DEBUGSS,tms,,true,false,true,MyDEBUGSS1
tdi,general,PU,PU,vddshv3,3.3,3.3,D23,DEBUGSS,tdi,,true,false,true,MyDEBUGSS1
tdo,general,PU,PU,vddshv3,3.3,3.3,F19,DEBUGSS,tdo,,false,false,false,MyDEBUGSS1
tclk,general,PU,PU,vddshv3,3.3,3.3,E20,DEBUGSS,tclk,,false,true,true,MyDEBUGSS1
trstn,general,PD,PD,vddshv3,3.3,3.3,D20,DEBUGSS,trstn,,false,false,true,MyDEBUGSS1
rtck,general,PU,drive 0 (OFF),vddshv3,3.3,3.3,E18,DEBUGSS,rtck,,false,false,false,MyDEBUGSS1
emu0,general,PU,PU,vddshv3,3.3,3.3,G21,DEBUGSS,emu0,,false,false,true,MyDEBUGSS1
emu1,general,PU,PU,vddshv3,3.3,3.3,D24,DEBUGSS,emu1,,false,false,true,MyDEBUGSS1
vin2a_d9,vin2,PD,PD,vddshv1,1.8,1.8,E6,eHRPWM2,ehrpwm2A,,false,false,false,EHRPWM2
vin2a_d10,vin2,PD,PD,vddshv1,1.8,1.8,D3,eHRPWM2,ehrpwm2B,,false,false,false,EHRPWM2
vin2a_d17,vin2,PD,PD,vddshv1,1.8,1.8,D6,eHRPWM3,ehrpwm3A,,false,false,false,EHRPWM3
vin2a_d18,vin2,PD,PD,vddshv1,1.8,1.8,C5,eHRPWM3,ehrpwm3B,,false,false,false,EHRPWM3
vin2a_d13,vin2,PD,PD,vddshv1,1.8,1.8,C2,eQEP3,eQEP3A_in,,false,false,true,QEP3
vin2a_d14,vin2,PD,PD,vddshv1,1.8,1.8,C3,eQEP3,eQEP3B_in,,false,false,true,QEP3
vin1a_d6,vin1,PD,PD,vddshv6,3.3,3.3,AG6,eQEP2,eQEP2A_in,,false,false,true,QEP2
vin1a_d7,vin1,PD,PD,vddshv6,3.3,3.3,AH4,eQEP2,eQEP2B_in,,false,false,true,QEP2
vin1a_de0,vin1,PD,PD,vddshv6,3.3,3.3,AD9,eQEP1,eQEP1A_in,,false,false,true,QEP1
vin1a_fld0,vin1,PD,PD,vddshv6,3.3,3.3,AF9,eQEP1,eQEP1B_in,,false,false,true,QEP1
mdio_mclk,rgmii,PU,PU,vddshv9,3.3,3.3,V1,MDIO,mdio_mclk,,false,false,false,MyGMAC_MDIO1
mdio_d,rgmii,PU,PU,vddshv9,3.3,3.3,U4,MDIO,mdio_d,,false,false,false,MyGMAC_MDIO1
rgmii0_rxd1,rgmii,PD,PD,vddshv9,3.3,3.3,Y2,GMAC0,rgmii0_rxd1,,false,false,true,ETH0_MII
rgmii0_rxd2,rgmii,PD,PD,vddshv9,3.3,3.3,V3,GMAC0,rgmii0_rxd2,,false,false,true,ETH0_MII
rgmii0_rxd3,rgmii,PD,PD,vddshv9,3.3,3.3,V4,GMAC0,rgmii0_rxd3,,false,false,true,ETH0_MII
rgmii0_rxd0,rgmii,PD,PD,vddshv9,3.3,3.3,W2,GMAC0,rgmii0_rxd0,,false,false,true,ETH0_MII
rgmii0_txd0,rgmii,PD,PD,vddshv9,3.3,3.3,U6,GMAC0,rgmii0_txd0,,false,false,false,ETH0_MII
rgmii0_txd1,rgmii,PD,PD,vddshv9,3.3,3.3,V6,GMAC0,rgmii0_txd1,,false,false,false,ETH0_MII
rgmii0_txd2,rgmii,PD,PD,vddshv9,3.3,3.3,U7,GMAC0,rgmii0_txd2,,false,false,false,ETH0_MII
rgmii0_txd3,rgmii,PD,PD,vddshv9,3.3,3.3,V7,GMAC0,rgmii0_txd3,,false,false,false,ETH0_MII
rgmii0_txc,rgmii,PD,PD,vddshv9,3.3,3.3,W9,GMAC0,rgmii0_txc,,false,false,false,ETH0_MII
rgmii0_txctl,rgmii,PD,PD,vddshv9,3.3,3.3,V9,GMAC0,rgmii0_txctl,,false,false,false,ETH0_MII
rgmii0_rxc,rgmii,PD,PD,vddshv9,3.3,3.3,U5,GMAC0,rgmii0_rxc,,false,false,true,ETH0_MII
rgmii0_rxctl,rgmii,PD,PD,vddshv9,3.3,3.3,V5,GMAC0,rgmii0_rxctl,,false,false,true,ETH0_MII
vin1a_clk0,vin1,PD,PD,vddshv6,3.3,3.3,AG8,GPIO2,gpio2_30,,true,false,true,GPIO2
vin1a_d3,vin1,PD,PD,vddshv6,3.3,3.3,AH6,GPIO3,gpio3_7,,false,false,true,GPIO3
vin1a_d8,vin1,PD,PD,vddshv6,3.3,3.3,AG4,GPIO3,gpio3_12,,false,false,true,GPIO3
vin1a_d9,vin1,PD,PD,vddshv6,3.3,3.3,AG2,GPIO3,gpio3_13,,false,false,true,GPIO3
vin1a_d10,vin1,PD,PD,vddshv6,3.3,3.3,AG3,GPIO3,gpio3_14,,false,false,false,GPIO3
vin1a_d11,vin1,PD,PD,vddshv6,3.3,3.3,AG5,GPIO3,gpio3_15,,false,false,false,GPIO3
vin1a_d13,vin1,PD,PD,vddshv6,3.3,3.3,AF6,GPIO3,gpio3_17,,false,false,false,GPIO3
