/* PinMux automatically generated generic format file dump. */


/* register_address(hex)	register_value(hex)	ball_name(string)	register_name(string)	mux_mode0_name(string)	muxed_mode_name(string) */

0x4A003830	0x60000	F18	CTRL_CORE_PAD_TMS	tms	tms
0x4A003834	0xE0000	D23	CTRL_CORE_PAD_TDI	tdi	tdi
0x4A003838	0x10000	F19	CTRL_CORE_PAD_TDO	tdo	tdo
0x4A00383C	0x40000	E20	CTRL_CORE_PAD_TCLK	tclk	tclk
0x4A003840	0x50000	D20	CTRL_CORE_PAD_TRSTN	trstn	trstn
0x4A003844	0x10000	E18	CTRL_CORE_PAD_RTCK	rtck	rtck
0x4A003848	0x50000	G21	CTRL_CORE_PAD_EMU0	emu0	emu0
0x4A00384C	0x50000	D24	CTRL_CORE_PAD_EMU1	emu1	emu1
0x4A00359C	0x4000A	C2	CTRL_CORE_PAD_VIN2A_D13	vin2a_d13	eQEP3A_in
0x4A0035A0	0x4000A	C3	CTRL_CORE_PAD_VIN2A_D14	vin2a_d14	eQEP3B_in
0x4A00350C	0x4000A	AG6	CTRL_CORE_PAD_VIN1A_D6	vin1a_d6	eQEP2A_in
0x4A003510	0x4000A	AH4	CTRL_CORE_PAD_VIN1A_D7	vin1a_d7	eQEP2B_in
0x4A0034E4	0x4000A	AD9	CTRL_CORE_PAD_VIN1A_DE0	vin1a_de0	eQEP1A_in
0x4A0034E8	0x4000A	AF9	CTRL_CORE_PAD_VIN1A_FLD0	vin1a_fld0	eQEP1B_in
0x4A00363C	0x90000	V1	CTRL_CORE_PAD_MDIO_MCLK	mdio_mclk	mdio_mclk
0x4A003640	0x90000	U4	CTRL_CORE_PAD_MDIO_D	mdio_d	mdio_d
/* GMAC_RGMII0_MANUAL1 */
0x4A003678	0x50100	Y2	CTRL_CORE_PAD_RGMII0_RXD1	rgmii0_rxd1	rgmii0_rxd1
/* GMAC_RGMII0_MANUAL1 */
0x4A003674	0x50100	V3	CTRL_CORE_PAD_RGMII0_RXD2	rgmii0_rxd2	rgmii0_rxd2
/* GMAC_RGMII0_MANUAL1 */
0x4A003670	0x50100	V4	CTRL_CORE_PAD_RGMII0_RXD3	rgmii0_rxd3	rgmii0_rxd3
/* GMAC_RGMII0_MANUAL1 */
0x4A00367C	0x50100	W2	CTRL_CORE_PAD_RGMII0_RXD0	rgmii0_rxd0	rgmii0_rxd0
/* GMAC_RGMII0_MANUAL1 */
0x4A003664	0x10100	U6	CTRL_CORE_PAD_RGMII0_TXD0	rgmii0_txd0	rgmii0_txd0
/* GMAC_RGMII0_MANUAL1 */
0x4A003660	0x10100	V6	CTRL_CORE_PAD_RGMII0_TXD1	rgmii0_txd1	rgmii0_txd1
/* GMAC_RGMII0_MANUAL1 */
0x4A00365C	0x10100	U7	CTRL_CORE_PAD_RGMII0_TXD2	rgmii0_txd2	rgmii0_txd2
/* GMAC_RGMII0_MANUAL1 */
0x4A003658	0x10100	V7	CTRL_CORE_PAD_RGMII0_TXD3	rgmii0_txd3	rgmii0_txd3
/* GMAC_RGMII0_MANUAL1 */
0x4A003650	0x10100	W9	CTRL_CORE_PAD_RGMII0_TXC	rgmii0_txc	rgmii0_txc
/* GMAC_RGMII0_MANUAL1 */
0x4A003654	0x10100	V9	CTRL_CORE_PAD_RGMII0_TXCTL	rgmii0_txctl	rgmii0_txctl
/* GMAC_RGMII0_MANUAL1 */
0x4A003668	0x50100	U5	CTRL_CORE_PAD_RGMII0_RXC	rgmii0_rxc	rgmii0_rxc
/* GMAC_RGMII0_MANUAL1 */
0x4A00366C	0x50100	V5	CTRL_CORE_PAD_RGMII0_RXCTL	rgmii0_rxctl	rgmii0_rxctl
0x4A0034DC	0x6000E	AG8	CTRL_CORE_PAD_VIN1A_CLK0	vin1a_clk0	gpio2_30
0x4A0034F0	0x4000E	AF8	CTRL_CORE_PAD_VIN1A_VSYNC0	vin1a_vsync0	gpio3_3
0x4A003500	0x4000E	AH6	CTRL_CORE_PAD_VIN1A_D3	vin1a_d3	gpio3_7
0x4A003514	0x4000E	AG4	CTRL_CORE_PAD_VIN1A_D8	vin1a_d8	gpio3_12
0x4A003518	0x5000E	AG2	CTRL_CORE_PAD_VIN1A_D9	vin1a_d9	gpio3_13
0x4A00351C	0x0000E	AG3	CTRL_CORE_PAD_VIN1A_D10	vin1a_d10	gpio3_14
0x4A003520	0x0000E	AG5	CTRL_CORE_PAD_VIN1A_D11	vin1a_d11	gpio3_15
0x4A003528	0x0000E	AF6	CTRL_CORE_PAD_VIN1A_D13	vin1a_d13	gpio3_17
0x4A00352C	0x2000E	AF3	CTRL_CORE_PAD_VIN1A_D14	vin1a_d14	gpio3_18
0x4A003534	0x4000E	AF1	CTRL_CORE_PAD_VIN1A_D16	vin1a_d16	gpio3_20
0x4A003538	0x0000E	AE3	CTRL_CORE_PAD_VIN1A_D17	vin1a_d17	gpio3_21
0x4A00353C	0x2000E	AE5	CTRL_CORE_PAD_VIN1A_D18	vin1a_d18	gpio3_22
0x4A003540	0x5000E	AE1	CTRL_CORE_PAD_VIN1A_D19	vin1a_d19	gpio3_23
0x4A003544	0x4000E	AE2	CTRL_CORE_PAD_VIN1A_D20	vin1a_d20	gpio3_24
0x4A003550	0x0000E	AD3	CTRL_CORE_PAD_VIN1A_D23	vin1a_d23	gpio3_27
0x4A003570	0x4000E	D1	CTRL_CORE_PAD_VIN2A_D2	vin2a_d2	gpio4_3
0x4A003588	0x4000E	F5	CTRL_CORE_PAD_VIN2A_D8	vin2a_d8	gpio4_9
